category,language,text
CYCLONE,en,"Cyclonic storm forming near Guwahati coast, storm surge and gales expected"
CYCLONE,en,"Cyclonic storm forming near Varanasi coast, storm surge and gales expected"
CYCLONE,en,Tropical cyclone approaches Siliguri
HEATWAVE,en,Extreme heatwave warning for Bhubaneswar
HEATWAVE,en,"Scorching heatwave grips Siliguri, parched conditions with record highs"
HEATWAVE,en,Heatwave conditions in Guwahati
HEATWAVE,en,Scorching heatwave grips Ahmedabad
HEATWAVE,en,Heatwave conditions in Ahmedabad
HEATWAVE,en,Extreme heatwave warning for Mumbai
HEATWAVE,en,Heatwave conditions in Shimla
HEATWAVE,en,Heatwave conditions in Varanasi
HEATWAVE,en,"Heatwave conditions in Chennai, temperatures above 45 celsius for days"
HEATWAVE,en,"Extreme heatwave warning for Shimla, oppressive heat and no rain relief"
HEATWAVE,en,Extreme heatwave warning for Bengaluru
HEATWAVE,en,Scorching heatwave grips Kochi
COLD_WAVE,en,Cold wave alert for Lucknow
COLD_WAVE,en,"Cold wave sweeping Varanasi, temperatures dropped sharply overnight"
COLD_WAVE,en,"Cold wave alert for Hyderabad, unusually low minimum temperatures"
COLD_WAVE,en,"Cold wave alert for Jaipur, unusually low minimum temperatures"
COLD_WAVE,en,"Bitterly cold conditions in Guwahati, freezing mornings with frost"
COLD_WAVE,en,"Bitterly cold conditions in Kochi, freezing mornings with frost"
COLD_WAVE,en,"Bitterly cold conditions in Delhi, freezing mornings with frost"
COLD_WAVE,en,"Cold wave sweeping Ahmedabad, temperatures dropped sharply overnight"
COLD_WAVE,en,Cold wave sweeping Bhubaneswar
COLD_WAVE,en,Cold wave sweeping Nagpur
COLD_WAVE,en,Cold wave alert for Ahmedabad
COLD_WAVE,en,Cold wave alert for Ahmedabad
FOG,en,Fog patches in Mumbai morning
FOG,en,"Foggy start to the day in Kolkata, visibility down to one hundred metres"
FOG,en,"Fog patches in Mumbai morning, reduced visibility on highways"
FOG,en,Fog patches in Bhubaneswar morning
FOG,en,Fog patches in Kochi morning
FOG,en,"Fog patches in Pune morning, reduced visibility on highways"
FOG,en,"Foggy start to the day in Shimla, visibility down to one hundred metres"
FOG,en,"Fog patches in Varanasi morning, reduced visibility on highways"
FOG,en,"Fog patches in Nagpur morning, reduced visibility on highways"
FOG,en,Foggy start to the day in Shimla
FOG,en,"Fog patches in Shimla morning, reduced visibility on highways"
FOG,en,"Light fog reported around Hyderabad, misty conditions at dawn"
DENSE_FOG,en,Dense fog shrouds Delhi
DENSE_FOG,en,"Extremely dense fog blanket over Lucknow, near zero visibility on roads"
DENSE_FOG,en,Thick fog disrupts travel in Lucknow
DENSE_FOG,en,"Thick fog disrupts travel in Dehradun, flights delayed due to zero visibility"
DENSE_FOG,en,"Extremely dense fog blanket over Kolkata, near zero visibility on roads"
DENSE_FOG,en,"Extremely dense fog blanket over Delhi, near zero visibility on roads"
DENSE_FOG,en,Dense fog shrouds Patna
DENSE_FOG,en,"Extremely dense fog blanket over Bhubaneswar, near zero visibility on roads"
DENSE_FOG,en,Dense fog shrouds Ahmedabad
DENSE_FOG,en,"Dense fog shrouds Hyderabad, visibility below fifty metres across the city"
DENSE_FOG,en,Extremely dense fog blanket over Dehradun
DENSE_FOG,en,"Dense fog shrouds Lucknow, visibility below fifty metres across the city"
DUST_STORM,en,"Dust storm sweeps across Pune, winds carried thick dust and sand"
DUST_STORM,en,"Sandstorm hits Ahmedabad region, visibility dropped sharply with blowing sand"
DUST_STORM,en,Dust storm sweeps across Dehradun
DUST_STORM,en,Haboob like dust storm near Delhi
DUST_STORM,en,Dust storm sweeps across Varanasi
DUST_STORM,en,Dust storm sweeps across Mumbai
DUST_STORM,en,"Dust storm sweeps across Bengaluru, winds carried thick dust and sand"
DUST_STORM,en,"Sandstorm hits Shimla region, visibility dropped sharply with blowing sand"
DUST_STORM,en,"Sandstorm hits Hyderabad region, visibility dropped sharply with blowing sand"
DUST_STORM,en,"Sandstorm hits Kolkata region, visibility dropped sharply with blowing sand"
DUST_STORM,en,"Dust storm sweeps across Patna, winds carried thick dust and sand"
DUST_STORM,en,Dust storm sweeps across Patna
STRONG_WIND,en,Strong wind conditions persist in Dehradun
STRONG_WIND,en,Strong wind conditions persist in Lucknow
STRONG_WIND,en,"Windy conditions disrupt Varanasi, wind speed peaking through the day"
STRONG_WIND,en,"Windy conditions disrupt Shimla, wind speed peaking through the day"
STRONG_WIND,en,"Gusty winds in Hyderabad, high winds uprooted trees and hoardings"
STRONG_WIND,en,Strong wind conditions persist in Hyderabad
STRONG_WIND,en,Gusty winds in Nagpur
STRONG_WIND,en,"Windy conditions disrupt Varanasi, wind speed peaking through the day"
STRONG_WIND,en,Gusty winds in Bhubaneswar
STRONG_WIND,en,Gusty winds in Kolkata
STRONG_WIND,en,Windy conditions disrupt Shimla
STRONG_WIND,en,Windy conditions disrupt Kochi
HAILSTORM,en,"Hailstorm damages crops near Kolkata, hailstones the size of marbles fell"
HAILSTORM,en,Sudden hailstorm over Mumbai
HAILSTORM,en,"Hailstorm damages crops near Mumbai, hailstones the size of marbles fell"
HAILSTORM,en,Sudden hailstorm over Mumbai
HAILSTORM,en,"Sudden hailstorm over Ahmedabad, accumulated hail covered the ground"
HAILSTORM,en,"Hail reported in Delhi during storm, pelting hailstones damaged rooftops"
HAILSTORM,en,Sudden hailstorm over Ahmedabad
HAILSTORM,en,Sudden hailstorm over Kolkata
HAILSTORM,en,Sudden hailstorm over Mumbai
HAILSTORM,en,"Hail reported in Nagpur during storm, pelting hailstones damaged rooftops"
HAILSTORM,en,Sudden hailstorm over Kochi
HAILSTORM,en,Hail reported in Pune during storm
SNOWFALL,en,"Snowfall in Bhubaneswar highlands, fresh snow blanketed the upper reaches"
SNOWFALL,en,"Snowfall in Pune highlands, fresh snow blanketed the upper reaches"
SNOWFALL,en,"Heavy snowfall reported at Chennai, roads closed after a foot of snow"
SNOWFALL,en,"Blizzard conditions near Jaipur, strong winds with continuous snow"
SNOWFALL,en,"Heavy snowfall reported at Bhubaneswar, roads closed after a foot of snow"
SNOWFALL,en,Snowfall in Siliguri highlands
SNOWFALL,en,"Heavy snowfall reported at Nagpur, roads closed after a foot of snow"
SNOWFALL,en,Snowfall in Mumbai highlands
SNOWFALL,en,Blizzard conditions near Hyderabad
SNOWFALL,en,Blizzard conditions near Pune
SNOWFALL,en,"Snowfall in Guwahati highlands, fresh snow blanketed the upper reaches"
SNOWFALL,en,Snowfall in Ahmedabad highlands
DROUGHT,en,Water shortage worsens in Jaipur
DROUGHT,en,"Drought conditions in Dehradun district, reservoirs at critical low levels"
DROUGHT,en,Drought like situation near Jaipur
DROUGHT,en,Drought like situation near Kochi
DROUGHT,en,Drought conditions in Varanasi district
DROUGHT,en,Water shortage worsens in Delhi
DROUGHT,en,"Drought conditions in Pune district, reservoirs at critical low levels"
DROUGHT,en,Drought conditions in Delhi district
DROUGHT,en,"Drought like situation near Varanasi, crops failing due to lack of rain"
DROUGHT,en,"Drought conditions in Pune district, reservoirs at critical low levels"
DROUGHT,en,Water shortage worsens in Hyderabad
DROUGHT,en,"Drought like situation near Bhubaneswar, crops failing due to lack of rain"
LANDSLIDE,en,"Landslide blocks highway near Pune, debris collapsed onto the road"
LANDSLIDE,en,Landslide cuts off Shimla village
LANDSLIDE,en,Mudslide reported at Kolkata hills
LANDSLIDE,en,Landslide blocks highway near Lucknow
LANDSLIDE,en,Mudslide reported at Kolkata hills
LANDSLIDE,en,Landslide blocks highway near Bhubaneswar
LANDSLIDE,en,"Landslide blocks highway near Pune, debris collapsed onto the road"
LANDSLIDE,en,"Landslide blocks highway near Dehradun, debris collapsed onto the road"
LANDSLIDE,en,Landslide cuts off Lucknow village
LANDSLIDE,en,Landslide cuts off Siliguri village
LANDSLIDE,en,Landslide blocks highway near Mumbai
LANDSLIDE,en,"Landslide cuts off Chennai village, rutted roads buried under earth and rock"
WATERLOGGING,en,Waterlogging reported in Kolkata market
WATERLOGGING,en,Streets waterlogged after rain in Nagpur
WATERLOGGING,en,Waterlogging reported in Chennai market
WATERLOGGING,en,"Streets waterlogged after rain in Chennai, puddles made commuting difficult"
WATERLOGGING,en,Waterlogging on roads in Jaipur
WATERLOGGING,en,Streets waterlogged after rain in Kolkata
WATERLOGGING,en,Streets waterlogged after rain in Hyderabad
WATERLOGGING,en,"Waterlogging reported in Ahmedabad market, shops flooded in low lying area"
WATERLOGGING,en,"Waterlogging reported in Delhi market, shops flooded in low lying area"
WATERLOGGING,en,Streets waterlogged after rain in Varanasi
WATERLOGGING,en,"Streets waterlogged after rain in Chennai, puddles made commuting difficult"
WATERLOGGING,en,"Waterlogging on roads in Bengaluru, rivers of water flowing on streets"
CLOUDBURST,en,"Cloudburst over Lucknow causes havoc, sudden intense rain overwhelmed drains"
CLOUDBURST,en,Cloudburst over Bengaluru causes havoc
CLOUDBURST,en,"Possible cloudburst reported near Bhubaneswar, flash flooding followed immediately"
CLOUDBURST,en,"Cloudburst like event at Ahmedabad, cascades of water in a short time"
CLOUDBURST,en,Cloudburst like event at Bengaluru
CLOUDBURST,en,"Possible cloudburst reported near Delhi, flash flooding followed immediately"
CLOUDBURST,en,"Cloudburst like event at Kolkata, cascades of water in a short time"
CLOUDBURST,en,"Cloudburst like event at Ahmedabad, cascades of water in a short time"
CLOUDBURST,en,"Cloudburst over Dehradun causes havoc, sudden intense rain overwhelmed drains"
CLOUDBURST,en,Cloudburst like event at Jaipur
CLOUDBURST,en,"Cloudburst over Ahmedabad causes havoc, sudden intense rain overwhelmed drains"
CLOUDBURST,en,Cloudburst over Hyderabad causes havoc
RAINFALL,hi,शहर में रुकरुक कर बारिश से सड़कें गीली रहीं
RAINFALL,hi,शहर में रुकरुक कर बारिश से सड़कें गीली रहीं
RAINFALL,hi,शहर में रुकरुक कर बारिश से सड़कें गीली रहीं
RAINFALL,hi,शहर में रुकरुक कर बारिश से सड़कें गीली रहीं
RAINFALL,hi,शहर में रुकरुक कर बारिश से सड़कें गीली रहीं
RAINFALL,hi,बेंगलुरु में हल्की बारिश हो रही है
RAINFALL,hi,गुवाहाटी में हल्की बारिश हो रही है
RAINFALL,hi,शहर में रुकरुक कर बारिश से सड़कें गीली रहीं
RAINFALL,hi,गुवाहाटी में हल्की बारिश हो रही है
RAINFALL,hi,शहर में रुकरुक कर बारिश से सड़कें गीली रहीं
RAINFALL,hi,शहर में रुकरुक कर बारिश से सड़कें गीली रहीं
RAINFALL,hi,लखनऊ में हल्की बारिश हो रही है
HEAVY_RAINFALL,hi,बेंगलुरु में भारी बारिश से जनजीवन अस्तव्यस्त
HEAVY_RAINFALL,hi,लखनऊ में भारी बारिश से जनजीवन अस्तव्यस्त
HEAVY_RAINFALL,hi,भुवनेश्वर में भारी बारिश से जनजीवन अस्तव्यस्त
HEAVY_RAINFALL,hi,जयपुर में भारी बारिश से जनजीवन अस्तव्यस्त
HEAVY_RAINFALL,hi,मुसलाधार बारिश ने शहर को भिगो दिया
HEAVY_RAINFALL,hi,मुसलाधार बारिश ने शहर को भिगो दिया
HEAVY_RAINFALL,hi,मुसलाधार बारिश ने शहर को भिगो दिया
HEAVY_RAINFALL,hi,मुसलाधार बारिश ने शहर को भिगो दिया
HEAVY_RAINFALL,hi,मुसलाधार बारिश ने शहर को भिगो दिया
HEAVY_RAINFALL,hi,मुसलाधार बारिश ने शहर को भिगो दिया
HEAVY_RAINFALL,hi,मुसलाधार बारिश ने शहर को भिगो दिया
HEAVY_RAINFALL,hi,चेन्नई में भारी बारिश से जनजीवन अस्तव्यस्त
FLOOD,hi,बाढ़ का पानी लगातार बढ़ रहा है
FLOOD,hi,गुवाहाटी के निचले इलाकों में बाढ़ आ गई
FLOOD,hi,बाढ़ का पानी लगातार बढ़ रहा है
FLOOD,hi,बेंगलुरु के निचले इलाकों में बाढ़ आ गई
FLOOD,hi,बाढ़ का पानी लगातार बढ़ रहा है
FLOOD,hi,बाढ़ का पानी लगातार बढ़ रहा है
FLOOD,hi,बाढ़ का पानी लगातार बढ़ रहा है
FLOOD,hi,बाढ़ का पानी लगातार बढ़ रहा है
FLOOD,hi,भुवनेश्वर के निचले इलाकों में बाढ़ आ गई
FLOOD,hi,बाढ़ का पानी लगातार बढ़ रहा है
FLOOD,hi,बेंगलुरु के निचले इलाकों में बाढ़ आ गई
FLOOD,hi,बाढ़ का पानी लगातार बढ़ रहा है
FLASH_FLOOD,hi,बेंगलुरु में अचानक आई बाढ़ ने तबाही मचाई
FLASH_FLOOD,hi,चेन्नई में अचानक आई बाढ़ ने तबाही मचाई
FLASH_FLOOD,hi,दिल्ली में अचानक आई बाढ़ ने तबाही मचाई
FLASH_FLOOD,hi,चेन्नई में अचानक आई बाढ़ ने तबाही मचाई
FLASH_FLOOD,hi,तेज बारिश के बाद सड़कों पर अचानक बाढ़ का पानी
FLASH_FLOOD,hi,पटना में अचानक आई बाढ़ ने तबाही मचाई
FLASH_FLOOD,hi,तेज बारिश के बाद सड़कों पर अचानक बाढ़ का पानी
FLASH_FLOOD,hi,लखनऊ में अचानक आई बाढ़ ने तबाही मचाई
FLASH_FLOOD,hi,तेज बारिश के बाद सड़कों पर अचानक बाढ़ का पानी
FLASH_FLOOD,hi,कोलकाता में अचानक आई बाढ़ ने तबाही मचाई
FLASH_FLOOD,hi,मुंबई में अचानक आई बाढ़ ने तबाही मचाई
FLASH_FLOOD,hi,तेज बारिश के बाद सड़कों पर अचानक बाढ़ का पानी
THUNDERSTORM,hi,भुवनेश्वर में गरज के साथ आंधी और तूफान
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,मुंबई में गरज के साथ आंधी और तूफान
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
THUNDERSTORM,hi,तेज आंधी के साथ जोरदार बारिश हुई
LIGHTNING,hi,आसमान में बिजली चमकती रही
LIGHTNING,hi,बेंगलुरु में बिजली गिरने की घटनाएं जारी
LIGHTNING,hi,बेंगलुरु में बिजली गिरने की घटनाएं जारी
LIGHTNING,hi,आसमान में बिजली चमकती रही
LIGHTNING,hi,कोलकाता में बिजली गिरने की घटनाएं जारी
LIGHTNING,hi,चेन्नई में बिजली गिरने की घटनाएं जारी
LIGHTNING,hi,आसमान में बिजली चमकती रही
LIGHTNING,hi,मुंबई में बिजली गिरने की घटनाएं जारी
LIGHTNING,hi,आसमान में बिजली चमकती रही
LIGHTNING,hi,आसमान में बिजली चमकती रही
LIGHTNING,hi,आसमान में बिजली चमकती रही
LIGHTNING,hi,चेन्नई में बिजली गिरने की घटनाएं जारी
CYCLONE,hi,चक्रवाती तूफान से तटीय इलाकों में तेज हवाएं
CYCLONE,hi,चक्रवात गुवाहाटी के तट के करीब पहुंचा
CYCLONE,hi,चक्रवाती तूफान से तटीय इलाकों में तेज हवाएं
CYCLONE,hi,चक्रवात जयपुर के तट के करीब पहुंचा
CYCLONE,hi,चक्रवाती तूफान से तटीय इलाकों में तेज हवाएं
CYCLONE,hi,चक्रवाती तूफान से तटीय इलाकों में तेज हवाएं
CYCLONE,hi,चक्रवात पटना के तट के करीब पहुंचा
CYCLONE,hi,चक्रवात बेंगलुरु के तट के करीब पहुंचा
CYCLONE,hi,चक्रवाती तूफान से तटीय इलाकों में तेज हवाएं
CYCLONE,hi,चक्रवात लखनऊ के तट के करीब पहुंचा
CYCLONE,hi,चक्रवाती तूफान से तटीय इलाकों में तेज हवाएं
CYCLONE,hi,चक्रवात पटना के तट के करीब पहुंचा
HEATWAVE,hi,गुवाहाटी में लू चलने से पारा 45 डिग्री के पार
HEATWAVE,hi,लखनऊ में लू चलने से पारा 45 डिग्री के पार
HEATWAVE,hi,मुंबई में लू चलने से पारा 45 डिग्री के पार
HEATWAVE,hi,भीषण गर्मी से लोगों का हाल बेहाल
HEATWAVE,hi,भीषण गर्मी से लोगों का हाल बेहाल
HEATWAVE,hi,बेंगलुरु में लू चलने से पारा 45 डिग्री के पार
HEATWAVE,hi,भीषण गर्मी से लोगों का हाल बेहाल
HEATWAVE,hi,पटना में लू चलने से पारा 45 डिग्री के पार
HEATWAVE,hi,भीषण गर्मी से लोगों का हाल बेहाल
HEATWAVE,hi,भीषण गर्मी से लोगों का हाल बेहाल
HEATWAVE,hi,भीषण गर्मी से लोगों का हाल बेहाल
HEATWAVE,hi,पटना में लू चलने से पारा 45 डिग्री के पार
COLD_WAVE,hi,भुवनेश्वर में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,जयपुर में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,मुंबई में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,दिल्ली में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,चेन्नई में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,गुवाहाटी में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,चेन्नई में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,पटना में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,गुवाहाटी में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,पटना में शीत लहर से कड़ाके की ठंड
COLD_WAVE,hi,भीषण ठंड के कारण स्कूल बंद रहे
COLD_WAVE,hi,गुवाहाटी में शीत लहर से कड़ाके की ठंड
FOG,hi,कोलकाता में सुबह कोहरा छाया रहा
FOG,hi,कोहरे के कारण दृश्यता कम रही
FOG,hi,बेंगलुरु में सुबह कोहरा छाया रहा
FOG,hi,कोहरे के कारण दृश्यता कम रही
FOG,hi,मुंबई में सुबह कोहरा छाया रहा
FOG,hi,मुंबई में सुबह कोहरा छाया रहा
FOG,hi,कोहरे के कारण दृश्यता कम रही
FOG,hi,गुवाहाटी में सुबह कोहरा छाया रहा
FOG,hi,जयपुर में सुबह कोहरा छाया रहा
FOG,hi,कोहरे के कारण दृश्यता कम रही
FOG,hi,भुवनेश्वर में सुबह कोहरा छाया रहा
FOG,hi,कोहरे के कारण दृश्यता कम रही
DENSE_FOG,hi,घने कोहरे के कारण उड़ानें रद्द
DENSE_FOG,hi,"लखनऊ में घना कोहरा छाया, दृश्यता शून्य के करीब"
DENSE_FOG,hi,घने कोहरे के कारण उड़ानें रद्द
DENSE_FOG,hi,"लखनऊ में घना कोहरा छाया, दृश्यता शून्य के करीब"
DENSE_FOG,hi,"भुवनेश्वर में घना कोहरा छाया, दृश्यता शून्य के करीब"
DENSE_FOG,hi,घने कोहरे के कारण उड़ानें रद्द
DENSE_FOG,hi,घने कोहरे के कारण उड़ानें रद्द
DENSE_FOG,hi,घने कोहरे के कारण उड़ानें रद्द
DENSE_FOG,hi,घने कोहरे के कारण उड़ानें रद्द
DENSE_FOG,hi,"मुंबई में घना कोहरा छाया, दृश्यता शून्य के करीब"
DENSE_FOG,hi,घने कोहरे के कारण उड़ानें रद्द
DENSE_FOG,hi,"पटना में घना कोहरा छाया, दृश्यता शून्य के करीब"
DUST_STORM,hi,आंधी के साथ उड़ी धूल से दृश्यता घटी
DUST_STORM,hi,पटना में धूल भरी आंधी चली
DUST_STORM,hi,आंधी के साथ उड़ी धूल से दृश्यता घटी
DUST_STORM,hi,आंधी के साथ उड़ी धूल से दृश्यता घटी
DUST_STORM,hi,आंधी के साथ उड़ी धूल से दृश्यता घटी
DUST_STORM,hi,आंधी के साथ उड़ी धूल से दृश्यता घटी
DUST_STORM,hi,आंधी के साथ उड़ी धूल से दृश्यता घटी
DUST_STORM,hi,भुवनेश्वर में धूल भरी आंधी चली
DUST_STORM,hi,मुंबई में धूल भरी आंधी चली
DUST_STORM,hi,लखनऊ में धूल भरी आंधी चली
DUST_STORM,hi,आंधी के साथ उड़ी धूल से दृश्यता घटी
DUST_STORM,hi,पटना में धूल भरी आंधी चली
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,मुंबई में तेज हवाएं चल रही हैं
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,तेज हवाओं के कारण पेड़ गिर गए
STRONG_WIND,hi,मुंबई में तेज हवाएं चल रही हैं
STRONG_WIND,hi,जयपुर में तेज हवाएं चल रही हैं
HAILSTORM,hi,भुवनेश्वर में ओलावृष्टि से फसलों को नुकसान
HAILSTORM,hi,चेन्नई में ओलावृष्टि से फसलों को नुकसान
HAILSTORM,hi,पटना में ओलावृष्टि से फसलों को नुकसान
HAILSTORM,hi,ओलों की बारिश से छतों को नुकसान
HAILSTORM,hi,ओलों की बारिश से छतों को नुकसान
HAILSTORM,hi,बेंगलुरु में ओलावृष्टि से फसलों को नुकसान
HAILSTORM,hi,जयपुर में ओलावृष्टि से फसलों को नुकसान
HAILSTORM,hi,बेंगलुरु में ओलावृष्टि से फसलों को नुकसान
HAILSTORM,hi,भुवनेश्वर में ओलावृष्टि से फसलों को नुकसान
HAILSTORM,hi,बेंगलुरु में ओलावृष्टि से फसलों को नुकसान
